"date","dolar_kuru","acilis","yuksek","dusuk","fark"
"30.03.2018","2,4080","2,4140","2,4140","2,4080","-0,25%"
"29.03.2018","2,4140","2,4320","2,4320","2,4100","-0,49%"
"28.03.2018","2,4260","2,4290","2,4300","2,4112","-0,12%"
"27.03.2018","2,4290","2,4280","2,4290","2,4106","0,04%"
"26.03.2018","2,4280","2,4280","2,4290","2,4140","-0,12%"
"23.03.2018","2,4310","2,4320","2,4320","2,4180","-0,12%"
"22.03.2018","2,4340","2,4360","2,4390","2,4320","-0,16%"
"21.03.2018","2,4380","2,4360","2,4380","2,4320","0,08%"
"20.03.2018","2,4360","2,4370","2,4370","2,4303","-0,16%"
"19.03.2018","2,4400","2,4550","2,4550","2,4350","-0,81%"
"16.03.2018","2,4600","2,4450","2,4600","2,4450","0,61%"
"15.03.2018","2,4450","2,4470","2,4530","2,4394","0,12%"
"14.03.2018","2,4420","2,4400","2,4420","2,4320","0,08%"
"13.03.2018","2,4400","2,4300","2,4400","2,4300","0,21%"
"12.03.2018","2,4350","2,4300","2,4350","2,4300","-0,41%"
"09.03.2018","2,4450","2,4540","2,4540","2,4450","-0,04%"
"08.03.2018","2,4460","2,4460","2,4460","2,4320","0,00%"
"07.03.2018","2,4460","2,4480","2,4480","2,4320","-0,08%"
"06.03.2018","2,4480","2,4540","2,4540","2,4370","-0,16%"
"05.03.2018","2,4520","2,4580","2,4580","2,4480","-0,33%"
"02.03.2018","2,4600","2,4620","2,4620","2,4525","-0,08%"
"01.03.2018","2,4620","2,4680","2,4680","2,4525","-0,24%"
"28.02.2018","2,4680","2,4780","2,4780","2,4550","-0,52%"
"27.02.2018","2,4810","2,4800","2,4870","2,4725","-0,04%"
"26.02.2018","2,4820","2,4720","2,4820","2,4700","0,49%"
"23.02.2018","2,4700","2,4670","2,4700","2,4620","0,12%"
"22.02.2018","2,4670","2,4630","2,4700","2,4600","0,16%"
"21.02.2018","2,4630","2,4730","2,4730","2,4630","-0,40%"
"20.02.2018","2,4730","2,4720","2,4820","2,4717","0,04%"
"19.02.2018","2,4720","2,4680","2,4720","2,4680","0,28%"
"16.02.2018","2,4650","2,4600","2,4650","2,4591","0,20%"
"15.02.2018","2,4600","2,4450","2,4600","2,4450","0,61%"
"14.02.2018","2,4450","2,4450","2,4450","2,4430","0,00%"
"13.02.2018","2,4450","2,4400","2,4450","2,4377","0,20%"
"12.02.2018","2,4400","2,4250","2,4450","2,4250","0,41%"
"09.02.2018","2,4300","2,4400","2,4650","2,4300","-0,41%"
"08.02.2018","2,4400","2,4550","2,4621","2,4400","-0,61%"
"07.02.2018","2,4550","2,4650","2,4700","2,4550","-0,41%"
"06.02.2018","2,4650","2,4650","2,4691","2,4650","0,00%"
"05.02.2018","2,4650","2,4550","2,4650","2,4550","0,41%"
"02.02.2018","2,4550","2,4750","2,4750","2,4550","-0,81%"
"01.02.2018","2,4750","2,5050","2,5050","2,4750","-0,80%"
"31.01.2018","2,4950","2,4950","2,4950","2,4850","-0,20%"
"30.01.2018","2,5000","2,4970","2,5000","2,4919","0,30%"
"29.01.2018","2,4925","2,4975","2,4975","2,4925","1,41%"
"26.01.2018","2,4578","2,4900","2,4900","2,4578","-1,29%"
"25.01.2018","2,4900","2,5250","2,5250","2,4900","-0,99%"
"24.01.2018","2,5150","2,5150","2,5150","2,5000","0,00%"
"23.01.2018","2,5150","2,5200","2,5200","2,5100","-0,40%"
"22.01.2018","2,5250","2,5150","2,5350","2,5150","-0,43%"
"19.01.2018","2,5360","2,5360","2,5505","2,5360","0,00%"
"18.01.2018","2,5360","2,5380","2,5400","2,5280","-0,35%"
"17.01.2018","2,5450","2,5400","2,5450","2,5350","0,00%"
"16.01.2018","2,5450","2,5400","2,5450","2,5400","0,20%"
"15.01.2018","2,5400","2,5500","2,5500","2,5400","-0,39%"
"12.01.2018","2,5500","2,5650","2,5650","2,5500","-0,58%"
"11.01.2018","2,5650","2,5650","2,5671","2,5650","0,00%"
"10.01.2018","2,5650","2,5850","2,5850","2,5650","-0,77%"
"09.01.2018","2,5850","2,5900","2,5900","2,5800","-0,19%"
